Scene,Tile,T,Z,C,X [micron],Y [micron],Z [micron],Time [s]
0,356,0,0,0,-34988.8,6784.8,3770.1,57.122
0,357,0,0,0,-35305.6,6784.8,3769.7,57.132
0,358,0,0,0,-35622.4,6784.8,3769.2,57.143
0,359,0,0,0,-35939.2,6784.8,3768.8,57.153
0,360,0,0,0,-36256.0,6784.8,3768.4,57.177
0,361,0,0,0,-36572.8,6784.8,3768.0,57.188
0,362,0,0,0,-36889.6,6784.8,3767.6,57.198
0,363,0,0,0,-37206.4,6784.8,3767.1,57.212
0,364,0,0,0,-37523.2,6784.8,3766.7,57.222
0,365,0,0,0,-37840.0,6784.8,3766.1,57.234
0,366,0,0,0,-38156.8,6784.8,3765.8,57.244
0,367,0,0,0,-38473.6,6784.8,3765.3,57.255
0,368,0,0,0,-38790.4,6784.8,3764.9,57.265
0,369,0,0,0,-39107.2,6784.8,3764.4,57.276
0,370,0,0,0,-39424.0,6784.8,3763.9,57.297
0,371,0,0,0,-39740.8,6784.8,3763.5,57.329
0,372,0,0,0,-40057.6,6784.8,3763.0,57.361
0,373,0,0,0,-40374.4,6784.8,3762.5,57.393
0,374,0,0,0,-40691.2,6784.8,3762.0,57.404
0,375,0,0,0,-41008.0,6784.8,3761.5,57.414
0,376,0,0,0,-41324.8,6784.8,3761.0,57.424
0,377,0,0,0,-41641.6,6784.8,3760.5,57.434
0,378,0,0,0,-41958.4,6784.8,3759.8,57.444
0,379,0,0,0,-42275.2,6784.8,3759.5,57.454
0,380,0,0,0,-42275.2,7022.4,3759.7,64.779
0,381,0,0,0,-41958.4,7022.4,3760.2,64.789
0,382,0,0,0,-41641.6,7022.4,3760.7,64.800
0,383,0,0,0,-41324.8,7022.4,3761.3,64.810
0,384,0,0,0,-41008.0,7022.4,3761.7,64.903
0,385,0,0,0,-40691.2,7022.4,3762.2,64.918
0,386,0,0,0,-40374.4,7022.4,3762.7,64.928
0,387,0,0,0,-40057.6,7022.4,3763.2,64.938
0,388,0,0,0,-39740.8,7022.4,3763.8,64.948
0,389,0,0,0,-39424.0,7022.4,3764.2,64.968
0,390,0,0,0,-39107.2,7022.4,3764.6,64.978
0,391,0,0,0,-38790.4,7022.4,3765.1,64.989
0,392,0,0,0,-38473.6,7022.4,3765.6,65.000
0,393,0,0,0,-38156.8,7022.4,3766.0,65.020
0,394,0,0,0,-37840.0,7022.4,3766.5,65.030
0,395,0,0,0,-37523.2,7022.4,3766.9,65.041
0,396,0,0,0,-37206.4,7022.4,3767.3,65.055
0,397,0,0,0,-36889.6,7022.4,3767.8,65.065
0,398,0,0,0,-36572.8,7022.4,3768.2,65.075
0,399,0,0,0,-36256.0,7022.4,3768.6,65.085
0,400,0,0,0,-35939.2,7022.4,3769.0,65.095
0,401,0,0,0,-35622.4,7022.4,3769.4,65.105
0,402,0,0,0,-35305.6,7022.4,3769.9,65.115
0,403,0,0,0,-34988.8,7022.4,3770.3,65.126
0,404,0,0,0,-34672.0,7022.4,3770.7,65.139
0,405,0,0,0,-34355.2,7022.4,3771.1,65.159
0,406,0,0,0,-34038.4,7022.4,3771.4,65.169
0,407,0,0,0,-33721.6,7022.4,3771.8,65.183
0,408,0,0,0,-33404.8,7022.4,3772.2,65.201
0,409,0,0,0,-33088.0,7022.4,3772.6,65.219
0,410,0,0,0,-32771.2,7022.4,3773.0,65.233
0,411,0,0,0,-32454.4,7022.4,3773.3,65.243
0,412,0,0,0,-32137.6,7022.4,3773.7,65.254
0,413,0,0,0,-31820.8,7022.4,3774.2,65.264
0,414,0,0,0,-31504.0,7022.4,3774.4,65.274
0,415,0,0,0,-31187.2,7022.4,3774.8,65.290
0,416,0,0,0,-30870.4,7022.4,3775.1,65.312
0,417,0,0,0,-30553.6,7022.4,3775.5,65.322
0,418,0,0,0,-30236.8,7022.4,3775.8,65.338
0,419,0,0,0,-29920.0,7022.4,3776.2,65.350
0,420,0,0,0,-29603.2,7022.4,3776.5,65.360
0,421,0,0,0,-29286.4,7022.4,3776.8,65.370
0,422,0,0,0,-28969.6,7022.4,3777.2,65.380
0,423,0,0,0,-28652.8,7022.4,3777.5,65.390
0,424,0,0,0,-28336.0,7022.4,3777.8,65.400
0,425,0,0,0,-28019.2,7022.4,3778.1,65.419
0,426,0,0,0,-27702.4,7022.4,3778.5,65.429
0,427,0,0,0,-27385.6,7022.4,3778.8,65.439
0,428,0,0,0,-27068.8,7022.4,3779.0,65.472
0,429,0,0,0,-26752.0,7260.0,3779.7,72.181
0,430,0,0,0,-27068.8,7260.0,3779.4,72.191
0,431,0,0,0,-27385.6,7260.0,3779.0,72.201
0,432,0,0,0,-27702.4,7260.0,3778.7,72.217
0,433,0,0,0,-28019.2,7260.0,3778.4,72.232
0,434,0,0,0,-28336.0,7260.0,3778.1,72.249
0,435,0,0,0,-28652.8,7260.0,3777.7,72.260
0,436,0,0,0,-28969.6,7260.0,3777.4,72.280
0,437,0,0,0,-29286.4,7260.0,3777.1,72.342
0,438,0,0,0,-29603.2,7260.0,3776.7,72.353
0,439,0,0,0,-29920.0,7260.0,3776.4,72.363
0,440,0,0,0,-30236.8,7260.0,3776.0,72.373
0,441,0,0,0,-30553.6,7260.0,3775.7,72.383
0,442,0,0,0,-30870.4,7260.0,3775.3,72.394
0,443,0,0,0,-31187.2,7260.0,3775.0,72.408
0,444,0,0,0,-31504.0,7260.0,3774.6,72.439
0,445,0,0,0,-31820.8,7260.0,3774.3,72.463
0,446,0,0,0,-32137.6,7260.0,3773.9,72.474
0,447,0,0,0,-32454.4,7260.0,3773.5,72.484
0,448,0,0,0,-32771.2,7260.0,3773.2,72.494
0,449,0,0,0,-33088.0,7260.0,3772.8,72.504
0,450,0,0,0,-33404.8,7260.0,3772.4,72.514
0,451,0,0,0,-33721.6,7260.0,3772.0,72.524
0,452,0,0,0,-34038.4,7260.0,3771.6,72.534
0,453,0,0,0,-34355.2,7260.0,3771.3,72.544
0,454,0,0,0,-34672.0,7260.0,3770.9,72.554
